GROUP,Gold,Silver,Bronze,TOTAL
USA,20,23,16,59
CHN,24,14,13,51
ROC,12,19,13,44
GBR,10,10,12,32
JPN,17,5,9,31
AUS,14,3,14,31
ITA,4,8,15,27
FRA,5,10,6,21
GER,4,4,11,19
KOR,5,4,8,17
NED,4,7,6,17
CAN,3,4,7,14
SUI,3,4,5,12
NZL,4,3,4,11
TPE,2,4,4,10
BRA,2,3,5,10
CZE,4,3,1,8
CRO,3,2,2,7
ESP,1,3,3,7
HUN,2,2,2,6
UKR,0,1,5,6
GEO,1,3,1,5
AUT,1,1,3,5
SLO,2,1,1,4
VEN,1,3,0,4
SWE,1,3,0,4
ROU,1,3,0,4
SRB,1,1,2,4
DEN,1,1,2,4
RSA,1,2,0,3
SVK,1,2,0,3
HKG,1,2,0,3
NOR,1,1,1,3
JAM,1,1,1,3
BEL,1,1,1,3
TUR,1,0,2,3
ISR,1,0,2,3
IRL,1,0,2,3
COL,0,2,1,3
INA,0,1,2,3
MGL,0,1,2,3
MEX,0,0,3,3
KAZ,0,0,3,3
KOS,2,0,0,2
QAT,2,0,0,2
ECU,2,0,0,2
TUN,1,1,0,2
POL,1,1,0,2
UZB,1,0,1,2
FIJ,1,0,1,2
EST,1,0,1,2
BLR,1,0,1,2
DOM,0,2,0,2
UGA,0,1,1,2
SMR,0,1,1,2
POR,0,1,1,2
CUB,0,1,1,2
IND,0,1,1,2
EGY,0,0,2,2
AZE,0,0,2,2
PHI,1,0,0,1
ETH,1,0,0,1
THA,1,0,0,1
LAT,1,0,0,1
IRI,1,0,0,1
GRE,1,0,0,1
BER,1,0,0,1
TKM,0,1,0,1
JOR,0,1,0,1
MKD,0,1,0,1
BUL,0,1,0,1
MAS,0,0,1,1
CIV,0,0,1,1
KUW,0,0,1,1
FIN,0,0,1,1
ARG,0,0,1,1